miRNA,log2FC,p_value,adj_p,Direction,Significant
hsa-miR-130b-3p,-0.890352073567036,0.2636162441513975,0.5362329327587064,Down_in_LUAD,False
hsa-miR-130b-5p,-0.06663814491446374,0.9289230361217913,0.9632528005002052,Down_in_LUAD,False
hsa-miR-132-3p,-1.111079236473306,0.21624943736348728,0.5362329327587064,Down_in_LUAD,False
hsa-miR-132-5p,-32.190541384839655,0.23434187404333887,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1323,-31.122619003481127,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-133a-3p,-0.843166167592333,0.5462264306347047,0.6929521473743461,Down_in_LUAD,False
hsa-miR-133b,0.16180812905536027,0.9377832558241805,0.9703310477833712,Up_in_LUAD,False
hsa-miR-134-5p,-0.9076482024583772,0.562651747626048,0.7025782293655102,Down_in_LUAD,False
hsa-miR-1343-5p,-26.778472421619593,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-135a-3p,0.0606362354417358,0.9766092945001394,0.9879514938201722,Up_in_LUAD,False
hsa-miR-135a-5p,34.2095302320254,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-135b-3p,-31.463655921186284,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-135b-5p,-30.473526165690863,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-136-3p,0.7811236745750634,0.5718939343611112,0.706718670181995,Up_in_LUAD,False
hsa-miR-136-5p,-0.2806081851750255,0.8793762449984265,0.932138819698332,Down_in_LUAD,False
hsa-miR-137,0.8305042071829982,0.6027891896693578,0.7303213479829852,Up_in_LUAD,False
hsa-miR-138-1-3p,-28.928367055822584,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-138-5p,-3.5453668064167974,0.36896159951851915,0.5508946431319606,Down_in_LUAD,False
hsa-miR-139-3p,0.8387693715090916,0.6032423712899291,0.7303213479829852,Up_in_LUAD,False
hsa-miR-139-5p,-34.98904152352546,0.16359993771191494,0.5362329327587064,Down_in_LUAD,False
hsa-miR-140-3p,-0.7787302366459503,0.16573310604363664,0.5362329327587064,Down_in_LUAD,False
hsa-miR-140-5p,0.32719458413025126,0.8199410869998845,0.9043049676276184,Up_in_LUAD,False
hsa-miR-141-3p,0.3604609511043133,0.6380211689209649,0.758942886721447,Up_in_LUAD,False
hsa-miR-142-3p,0.4024110276082711,0.5727305087617827,0.706836876272627,Up_in_LUAD,False
hsa-miR-142-5p,0.5198221035564536,0.3898381468762887,0.5660663502587207,Up_in_LUAD,False
hsa-miR-143-3p,-0.7167338824639256,0.16869748140670288,0.5362329327587064,Down_in_LUAD,False
hsa-miR-143-5p,-32.779083646443205,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-144-3p,1.2379848213297926,0.2578188769898278,0.5362329327587064,Up_in_LUAD,False
hsa-miR-144-5p,0.6382500245479257,0.45994578505254424,0.6206340579068278,Up_in_LUAD,False
hsa-miR-145-3p,-3.373968925609652,0.25612450890469707,0.5362329327587064,Down_in_LUAD,False
hsa-miR-145-5p,0.16682425747464968,0.9061130926791304,0.9478248778755761,Up_in_LUAD,False
hsa-miR-1468-5p,1.4048409288127894,0.3365872673670546,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1469,-31.927427869383024,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-146a-3p,3.2056014781202595,0.39574673920516745,0.5690931320978306,Up_in_LUAD,False
hsa-miR-146a-5p,0.5872773533778162,0.48514178833881627,0.6444552040974374,Up_in_LUAD,False
hsa-miR-146b-3p,-0.26884889699113357,0.8334208234324458,0.9107485286993737,Down_in_LUAD,False
hsa-miR-146b-5p,-0.0020625731862953245,0.9967561634395847,0.9998576414756573,Down_in_LUAD,False
hsa-miR-1471,30.534580063667146,0.34089313230206,0.5362329327587064,Up_in_LUAD,False
hsa-miR-148a-3p,-1.088023723138674,0.20634466499779391,0.5362329327587064,Down_in_LUAD,False
hsa-miR-148a-5p,-0.9959076227261239,0.21563573845803669,0.5362329327587064,Down_in_LUAD,False
hsa-miR-148b-3p,-0.39229580710796697,0.6601378685354838,0.7765370241465495,Down_in_LUAD,False
hsa-miR-148b-5p,0.2743572671365042,0.823393179487077,0.9060174085705553,Up_in_LUAD,False
hsa-miR-149-3p,1.5488932824278159,0.5119886048984994,0.6654456799361967,Up_in_LUAD,False
hsa-miR-149-5p,-0.9988159619379466,0.3576189724404819,0.545528110932294,Down_in_LUAD,False
hsa-miR-150-3p,-32.291408691639,0.19387289536001945,0.5362329327587064,Down_in_LUAD,False
hsa-miR-150-5p,-0.9068402770924386,0.28734320627725124,0.5362329327587064,Down_in_LUAD,False
hsa-miR-151a-3p,-0.6435461456201974,0.32451838017281087,0.5362329327587064,Down_in_LUAD,False
hsa-miR-151a-5p,0.7250853514564746,0.3911458972693149,0.5668546902356553,Up_in_LUAD,False
hsa-miR-151b,-0.2148667863328395,0.8284580779177328,0.9092738951983813,Down_in_LUAD,False
hsa-miR-152-3p,0.257262189997439,0.7880302778156526,0.8865340625426092,Up_in_LUAD,False
